City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,bu'aale,1.0833,42.5833,31.57,48,84,5.95,SO,1718608057
251,kodiak,57.79,-152.4072,10.73,87,0,0.0,US,1718608058
252,arua,3.0201,30.9111,23.32,64,100,0.52,UG,1718608059
253,ca mau,9.1769,105.15,34.11,47,62,4.4,VN,1718607871
254,tolanaro,-25.0319,46.9987,22.4,57,93,0.63,MG,1718608061
255,nogliki,51.8333,143.1667,4.63,99,100,4.02,RU,1718607962
256,wundanyi,-3.4019,38.364,20.97,46,92,3.99,KE,1718608063
257,myitkyina,25.3833,97.4,24.85,99,100,0.46,MM,1718607851
258,listowel,52.4464,-9.485,11.84,83,99,1.03,IE,1718608066
259,amos,48.5669,-78.1162,12.32,97,100,5.34,CA,1718608067
260,maintirano,-18.0667,44.0167,25.53,70,96,3.86,MG,1718608068
261,dolores,-36.3132,-57.6792,8.04,85,0,2.47,AR,1718608069
262,hadibu,12.65,54.0333,30.11,67,90,6.77,YE,1718608070
263,ritchie,-29.038,24.6028,13.56,54,2,7.36,ZA,1718608072
264,kavaratti,10.5669,72.642,28.46,79,100,3.59,IN,1718608073
265,huarmey,-10.0681,-78.1522,17.35,86,27,3.76,PE,1718608074
266,chelsea,51.4875,-0.1694,16.2,79,20,3.6,GB,1718608075
267,mar del plata,-38.0023,-57.5575,10.61,76,4,0.89,AR,1718608076
268,chiguayante,-36.9167,-73.0167,10.29,87,100,9.77,CL,1718608077
269,berbera,10.4396,45.0143,37.68,31,88,3.97,SO,1718608078
270,santyoku,37.4406,129.1708,25.93,52,100,2.79,KR,1718608080
271,bosaso,11.2842,49.1816,37.38,30,77,1.73,SO,1718608081
272,aktau,43.65,51.2,36.32,49,96,3.66,KZ,1718608082
273,waupun,43.6333,-88.7296,23.12,95,5,5.61,US,1718608083
274,katsuren-haebaru,26.3369,127.8719,27.43,91,75,4.63,JP,1718608084
275,thurso,58.5927,-3.5259,11.14,91,38,4.82,GB,1718607884
276,conception bay south,47.4999,-52.9981,8.08,95,100,3.41,CA,1718608086
277,juneau,58.3019,-134.4197,15.0,58,75,2.06,US,1718608087
278,irymple,-34.25,142.1667,11.72,60,100,2.84,AU,1718608089
279,gizo,-8.103,156.8419,27.85,80,29,5.1,SB,1718608090
280,bom jesus da lapa,-13.255,-43.4181,17.56,78,0,0.47,BR,1718608091
281,rawson,-43.3002,-65.1023,8.77,51,100,4.75,AR,1718608092
282,puerto baquerizo moreno,-0.9,-89.6,21.96,81,71,4.13,EC,1718608093
283,port saint john's,-31.6229,29.5448,18.56,64,100,3.04,ZA,1718608095
284,port elizabeth,-33.918,25.5701,18.51,67,0,3.09,ZA,1718607955
285,chilca,-12.5211,-76.7372,16.71,90,25,1.43,PE,1718608098
286,cold lake,54.4502,-110.2017,4.26,78,0,3.28,CA,1718608099
287,isafjordur,66.0755,-23.124,7.64,80,100,1.46,IS,1718608100
288,bangassou,4.7413,22.8184,26.05,70,93,0.86,CF,1718608101
289,racine,42.7495,-88.0751,23.83,83,0,0.0,US,1718608102
290,santana,-0.0583,-51.1817,25.1,94,20,0.51,BR,1718607966
291,seryshevo,51.0933,128.3786,20.93,45,82,5.82,RU,1718607906
292,kertih,4.5141,103.4483,31.94,61,41,3.21,MY,1718608063
293,jiangyou,31.7667,104.7167,29.85,48,100,3.34,CN,1718607826
294,nguigmi,14.2495,13.1092,32.38,42,6,7.12,NE,1718608108
295,tindouf,27.6711,-8.1474,24.3,31,1,4.67,DZ,1718608109
296,alofi,-19.0595,-169.9187,24.94,88,20,3.09,NU,1718608110
297,guelmim,28.987,-10.0574,16.77,85,32,2.38,MA,1718608111
298,nuuk,64.1835,-51.7216,7.34,93,100,5.66,GL,1718608112
299,siyabuswa,-25.1132,29.0445,13.55,55,0,1.82,ZA,1718608113
300,hofu,34.05,131.5667,24.53,83,100,0.96,JP,1718608114
301,matoury,4.8483,-52.3317,23.98,100,100,2.06,GF,1718608116
302,savannah,32.0835,-81.0998,28.3,83,0,2.06,US,1718607883
303,aripuana,-9.1667,-60.6333,21.31,62,6,1.16,BR,1718608118
304,norilsk,69.3535,88.2027,5.23,61,100,2.48,RU,1718607891
305,kone,-21.0595,164.8658,20.14,85,51,1.63,NC,1718608120
306,bathsheba,13.2167,-59.5167,27.5,80,99,5.04,BB,1718608121
307,atafu village,-8.5421,-172.5159,28.74,79,75,8.16,TK,1718608122
308,lensk,60.7253,114.9278,17.82,37,97,2.98,RU,1718608125
309,palu,-0.8917,119.8707,30.28,82,40,1.43,ID,1718608029
310,ponnani,10.767,75.9252,31.62,73,59,3.35,IN,1718608127
311,onguday,50.75,86.15,23.9,52,82,1.48,RU,1718608128
312,bayanhongor,46.7167,100.1167,14.85,56,100,9.42,MN,1718608129
313,kourou,5.1552,-52.6478,24.03,94,99,1.27,GF,1718608130
314,bezopasnoye,45.6483,41.936,26.36,54,11,2.91,RU,1718608131
315,mana,5.6592,-53.7767,24.83,90,100,2.34,GF,1718608132
316,orlovskiy,46.8714,42.0592,24.09,65,86,2.64,RU,1718608135
317,lichinga,-13.3128,35.2406,16.52,55,4,3.59,MZ,1718608068
318,mount isa,-20.7333,139.5,24.87,27,55,5.14,AU,1718608137
319,oranjemund,-28.55,16.4333,16.49,75,41,11.51,NA,1718608138
320,kermanshah,34.3142,47.065,31.5,17,0,4.12,IR,1718608106
321,kenora,49.8167,-94.4337,15.99,55,100,5.36,CA,1718608140
322,ancud,-41.8697,-73.8203,10.42,86,94,7.18,CL,1718608141
323,ghadamis,30.1337,9.5007,34.49,14,83,4.15,LY,1718608143
324,piacabucu,-10.4056,-36.4344,23.2,75,4,1.67,BR,1718608144
325,newport,51.5877,-2.9984,15.25,85,8,2.64,GB,1718608129
326,bowen,-20.0167,148.2333,20.96,59,60,4.0,AU,1718608146
327,maceio,-9.6658,-35.7353,21.69,88,40,2.06,BR,1718608055
328,kruisfontein,-34.0033,24.7314,17.11,46,100,4.61,ZA,1718608149
329,shakiso,5.75,38.9167,20.51,62,57,2.56,ET,1718607942
330,midvagur,62.0511,-7.1939,8.46,93,75,9.77,FO,1718608151
331,hovd,48.0056,91.6419,22.12,38,99,5.51,MN,1718608152
332,six-fours-les-plages,43.0938,5.84,22.83,65,0,2.26,FR,1718608153
333,norfolk,42.1668,-71.2495,15.26,88,0,1.54,US,1718608128
334,itaituba,-4.2761,-55.9836,23.18,84,33,0.45,BR,1718608042
335,walvis bay,-22.9575,14.5053,15.61,83,99,0.8,NA,1718608156
336,luderitz,-26.6481,15.1594,14.86,89,73,6.59,NA,1718608069
